Country,Country and parent code,Population Density,Year
Croatia,CC191_PC191,73.8080593280915,2019
Gibraltar,CC292_PC292,3370.6,2019
Greece,CC300_PC300,81.2525368502715,2019
Holy See,CC336_PC336,1852.27272727273,2019
Italy,CC380_PC380,205.854667845244,2019
Malta,CC470_PC470,1376.178125,2019
Montenegro,CC499_PC499,46.6905576208178,2019
North Macedonia,CC807_PC807,82.6113402061856,2019
Portugal,CC620_PC620,111.651686865378,2019
San Marino,CC674_PC674,564.4,2019
Serbia,CC688_PC688,100.299885662017,2019
Slovenia,CC705_PC705,103.210228401192,2019
Spain,CC724_PC724,93.6984402566159,2019
Austria,CC40_PC40,108.66662621801,2019
Belgium,CC56_PC56,381.087384412153,2019
France,CC250_PC250,118.946029363153,2019
Germany,CC276_PC276,239.605938719302,2019
Liechtenstein,CC438_PC438,237.625,2019
Luxembourg,CC442_PC442,237.733590733591,2019
Monaco,CC492_PC492,26152.3489932886,2019
Netherlands,CC528_PC528,507.032117437722,2019
Switzerland,CC756_PC756,217.41474339508,2019
Bermuda,CC60_PC60,1250.16,2019
Canada,CC124_PC124,4.11403715397025,2019
Greenland,CC304_PC304,0.138043610671215,2019
Saint Pierre and Miquelon,CC666_PC666,25.3086956521739,2019
United States of America,CC840_PC840,35.9735222609217,2019
